bundle_name,category,antecedents,consequents,support,confidence,lift,is_matching_set
Feltcraft Cushion Duo,Home Decor,FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,0.0166919575113808,0.535279805352798,18.39631769113397,True
Regency Tea Set,Food & Dining,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0295144157814871,0.6340668296658517,17.972044763432095,True
Musical Harmonica Set,Clothing & Accessories,RED HARMONICA IN BOX,BLUE HARMONICA IN BOX,0.0150986342943854,0.4760765550239235,15.32280584912164,True
Character Lunch Box Pair,Kids,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.0245447647951441,0.5963133640552996,14.984576050045469,True
Novelty Plasters Duo,Other,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY,0.0153262518968133,0.4798099762470308,12.69858531513226,True
Snack Box Collection,Storage,ROUND SNACK BOXES SET OF4 WOODLAND,ROUND SNACK BOXES SET OF 4 FRUITS,0.0123672230652503,0.3760092272202999,12.191393886257202,True
Vintage Card Game Bundle,Entertainment,VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.0281107738998482,0.6253164556962025,9.440631026432932,True
Cozy Hot Water Bottle Set,Other,RED WOOLLY HOTTIE WHITE HEART,KNITTED UNION FLAG HOT WATER BOTTLE,0.0133535660091047,0.3271375464684015,8.781411125159943,False
London-Themed Gift Duo,Other,PACK OF 12 LONDON TISSUES,LUNCH BOX I LOVE LONDON,0.0090667678300455,0.3169761273209548,8.749204938408765,False
Festive Baking Bundle,Food & Dining,60 CAKE CASES VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0159332321699544,0.4407135362014691,8.56094975259449,False
