antecedents,consequents,support,confidence,lift
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION OWL,0.01669195751138088,0.5736636245110821,18.39631769113397
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,0.01669195751138088,0.535279805352798,18.39631769113397
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.029514415781487103,0.6340668296658517,17.972044763432095
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.029514415781487103,0.8365591397849462,17.972044763432095
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.022192716236722306,0.7177914110429447,17.2952299772322
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.022192716236722306,0.5347349177330896,17.295229977232196
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.027807283763277693,0.582670906200318,16.515274287570303
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.027807283763277693,0.7881720430107526,16.515274287570303
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.03547040971168437,0.7432432432432433,15.967312055331616
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.03547040971168437,0.7620211898940505,15.967312055331616
BLUE HARMONICA IN BOX,RED HARMONICA IN BOX,0.015098634294385432,0.48595848595848595,15.32280584912164
RED HARMONICA IN BOX,BLUE HARMONICA IN BOX,0.015098634294385432,0.4760765550239235,15.32280584912164
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.02454476479514416,0.5963133640552996,14.984576050045469
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.02454476479514416,0.6167778836987607,14.984576050045467
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.028110773899848254,0.6569148936170213,14.382289531349402
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.028110773899848254,0.6154485049833887,14.382289531349402
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.02435508345978756,0.553925798101812,13.892943899109193
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.02435508345978756,0.6108468125594672,13.892943899109191
EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL BLACK,0.015857359635811835,0.41592039800995023,13.687467779703232
EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL NATURAL,0.015857359635811835,0.5218476903870162,13.68746777970323
TOILET METAL SIGN,BATHROOM METAL SIGN,0.02515174506828528,0.7483069977426635,13.669696784820937
BATHROOM METAL SIGN,TOILET METAL SIGN,0.02515174506828528,0.4594594594594595,13.669696784820937
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.02310318664643399,0.5254529767040552,13.579353397959702
HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,0.02310318664643399,0.5970588235294118,13.5793533979597
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.019195751138088014,0.42026578073089704,13.510007292763959
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.019195751138088014,0.6170731707317073,13.510007292763957
HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.02071320182094082,0.5352941176470588,13.425645043935747
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN,0.02071320182094082,0.5195052331113225,13.425645043935745
JUMBO BAG ALPHABET,JUMBO BAG APPLES,0.013922610015174508,0.4400479616306955,13.226527102149523
JUMBO BAG APPLES,JUMBO BAG ALPHABET,0.013922610015174508,0.4184720638540479,13.226527102149523
RED KITCHEN SCALES,IVORY KITCHEN SCALES,0.015098634294385432,0.508301404853129,13.161910640401258
IVORY KITCHEN SCALES,RED KITCHEN SCALES,0.015098634294385432,0.39096267190569745,13.161910640401256
